Shloka Number,Title,Head Word,Sub-Head Word,Synonyms,Rasa,Guna,Virya,Vipaka,Karma,,,,
7,अह माहिषघृतस्य गुणानाह ,,,,"शीतल, गुरु",,मधुर,"पित्त-रक्त-अनिलापहम्, वृष्यं, श्लेष्मलम् | ",,,,,
8,अथाजघृतस्य गुणानाह ।,,,कटु ?,,,कटु ,"अग्निं करोति, चक्षुष्यं , बलवर्द्धनम् । कासे श्वासे क्षये चापि हितम् ।",,,,,
9,अथौष्ट्रघृतस्य गुणानाह,,,कटु ?,,,कटु ,"घृतं पाके शोष-क्रिमि-विषापहम् । दीपनं, कफवातघ्नं, कुष्ठ-गुल्मोदरापहम् ।",,,,,
10-11,अथाविकघृतस्य गुणानाह,,,,,,लघु,"सर्वरोगविनाशनम् । चास्थ्नां वृद्धिं करोति वा अश्मरी-शर्कराऽपहम् । चक्षुष्यम्, अग्निसंधुक्ष्यं, वातदोषनिवारणम् ।",,,,,
12,अथ नारीघृतस्य गुणानाह,,,,,,,"कफे अनिले योनिदोषे पित्ते रक्ते च तद्धितम् । चक्षुष्यम्, आज्यं स्रीणां वा सर्पिः अमृतोपमम् ।",,,,,
13,अथ वडवाघृतस्य गुणानाह,,,,,,लघु,"देहाग्ने वृद्धिकरः, पाके विषापहम् । तर्पणं नेत्ररोगघ्नं, दाहनुद्, वडवाघृतम् ।",,,,,
14,अथ दुग्धनिःसृतधृतस्य गुणानाह,,,,,,,"ग्राहि, शीतलं, नेत्ररोगहृत् । पित्त-दाह-अस्र--मद-मूर्च्छा-भ्रमा-अनिलान् निहन्ति ।",,,,,
15,अथ ह्यस्तनदुग्धोत्थघृतस्य गुणानाह,,हैय्यङ्गवीन ,,,,,"चक्षुष्यं, दीपनं, रुचिकृत्परम्, बलकृद्, बृंहणं, वृष्यं, विशेषाज्ज्वरनाशनम् ।",,,,,
16-17,अथ पुराणघृतस्य गुणानाह,,,,,,,त्रिदोषनुत् । मूर्च्छा-कुष्ठ-विष-उन्माद-अपस्मार-तिमिरापहम् ।,,,,,
18,अथ नवीनघृतस्य विषयानाह,,,,,,,भोजने तर्पणे श्रमे बलक्षये पाण्डुरोगे कामला-नेत्ररोगयोः योजयेत् ।,,,,,
19-20,अथ घृतप्रयोगस्याविषयानाह,,,,,,,राजयक्ष्मणि बाले च वृद्धे श्लेष्मकृते गदे रोगे सोमे विषूच्याञ्च विबन्धे च मदात्यये ज्वरे च दहने मन्दे सर्पिर्बहु न मन्यते ।,,,,,
,अथ तैलवर्गः,,,,,,,,,,,,
1,तत्र तैलस्य स्वरूपं गुणं चाह,,,,,,,वातहरम्,,,,"तिलादिस्निग्धवस्तूनां स्नेहस्तैलमुदाहृतम् |

तत्तु वातहरं सर्वं विशेषात्तिलसम्भवम् ||१||",
2-7,अथ तिलतैलगुणानाह,,,"मधुर, कषाय, तिक्त","गुरु, विशद, सूक्ष्म",उष्ण,मधुर,स्थैर्य-बल-वर्णकर-सरम् । वृष्य-विकाशी-वात-कफापहम् । हिमं स्पर्शे-बृंहण-रक्त-पित्तकृत् । लेखनं -बद्धविण्मूत्रं -गर्भाशयविशोधनम् । दीपनं -बुद्धिदं -मेध्यं -व्यवायि-व्रणमेहनुत् । श्रोत्र-योनि-शिरः शूलनाशनम् । त्वच्यं केश्यं चक्षुष्यम् -अभ्यङ्गे लघुताकरम् । भोजनेऽन्यथा । छिन्न-भिन्न-च्युत-उत्पिष्ट- मथितक्षतपिच्चिते-भग्न-स्फुटित-विद्ध-अग्निदग्ध-विश्लिष्टदारिते-वस्तौ-पानेऽन्नसंस्कारे नस्ये कर्ण-अक्षिपूरणे । तथा अभिहतनिर्भुग्न-मृग-व्याघ्रादिविक्षते सेकाभ्यङ्गावगाहेषु तिलतैलं प्रशस्यते ।,,,,"तिलतैलं गुरु स्थैर्यबलवर्णकरं सरम् |	
	
वृष्यं विकाशि विशदं मधुरं रसपाकयोः ||२||	
	
सूक्ष्मं कषायानुरसं तिक्तं वातकफापहम् |	
	
वीर्येणोष्णं हिमं स्पर्शे बृंहणं रक्तपित्तकृत् ||३||	
	
लेखनं बद्धविण्मूत्रं गर्भाशयविशोधनम् |	
	
दीपनं बुद्धिदं मेध्यं व्यवायि व्रणमेहनुत् ||४||	
	
श्रोत्रयोनिशिरःशूलनाशनं लघुताकरम् |	
	
त्वच्यं केश्यं च चक्षुष्यमभ्यङ्गे भोजनेऽन्यथा ||५||	
	
छिन्नभिन्नच्युतोत्पिष्टमथितक्षतपिच्चिते |	
	
भग्नस्फुटितविद्धाग्निदग्धविश्लिष्टदारिते ||६||	
	
तथाऽभिहतनिर्भुग्नमृगव्याघ्रादिविक्षते |	
	
वस्तौ पानेऽन्नसंस्कारे नस्ये कर्णाक्षिपूरणे |	
	
सेकाभ्यङ्गावगाहेषु तिलतैलं प्रशस्यते ||७||	",
8-11,ननु बृंहणलेखनयोः कथं समानाधिकरण्यमित्याह,,,,"रूक्ष, सूक्ष्म, स्निग्ध, मृदु, तीक्ष्ण ",,,रूक्षादिदुष्टः पवनः स्रोतः संकोचयेद् । रसोऽसम्यग्वहन् कार्श्यं  कुर्यात् रक्तान्यवर्द्धनम् । तेषु प्रवेष्टुं सरतासौक्ष्म्यस्निग्धत्वमार्दवैः । तैलं क्षमं रसं नेतुं कृशानां तेन बृंहणम् । व्यवायिसूक्ष्मतीक्ष्णोष्णसरत्वैभेदसः क्षयम् । शनैः प्रकुरुते तैलं तेन लेखनमीरितम् । द्रुतं पुरीषं बध्नाति स्खलितं पत्प्रवर्त्तयेत् । ग्राहकं सारकं च ।,,,,"रूक्षादिदुष्टः पवनः स्रोतः सङ्कोचयेद्यदा |        
        
रसोऽसम्यग्वहन् कार्श्यं कुर्याद्रक्तान्यवर्धयन् ||८||        
        
तेषु प्रवेष्टुं सरत्वसौक्ष्म्यस्निग्धत्वमार्दवैः |        
        
तैलं क्षमं रसं नेतुं कृशानां तेन बृंहणम् ||९||        
        
व्यवायि सूक्ष्मतीक्ष्णोष्णसरत्वैर्मेदसः क्षयम् |        
        
शनैः प्रकुरुते तैलं तेन लेखनमीरितम् ||१०||        
        
द्रुतं पुरीषं बध्नाति स्खलितं तत्प्रवर्तयेत् |        
        
ग्राहकं सारकञ्चापि तेन तैलमुदीरितम् ||११||        
        
   
        
",
12,अथ घृततैलयोः परिभाषामाह,,,,,,,अब्दात्परं पक्वं हीनवीर्यम् । पक्वमपक्वं वा चिरस्थायि गुणाधिकम् ।,,,,"घृतमब्दात्परं पक्वं हीनवीर्यं प्रजायते |        
        
तैलं पक्वमपक्वं वा चिरस्थायि गुणाधिकम् ||१२||        ",
13-14,अथ सर्षपराजिका तैलयोर्गुणानाह ,,,कटु,तीक्ष्ण,उष्ण,कटु ,अग्निदीपनं -लेखनं -स्पर्शं -पित्ता-अस्रदूषकम् । कफ-मेद-अनिल-आर्शोघ्न-शिरः-कर्णामयापहम् । कण्डू-कुष्ठ-कृमि-श्वित्र-कोठ-दुष्ट-क्रिमिप्रणुत् । मूत्रकृच्छ्रकृत् ।,,,,"दीपनं सार्षपं तैलं कटुपाकरसं लघु |

लेखनं स्पर्शवीर्योष्णं तीक्ष्णं पित्तास्रदूषकम् ||१३||

कफमेदोऽनिलार्शोघ्नं शिरःकर्णामयापहम् |

कण्डूकुष्ठकृमिश्वित्रकोठदुष्टक्रिमिप्रणुत् |

तद्वद्राजिकयोस्तैलं विशेषान्मूत्रकृच्छ्रकृत् ||१४||",
16,अथ तुवरीतैलगुणानाह,,,,"उष्ण, लघु, तीक्ष्ण",,,ग्राहि-कफ-अस्रजित् । वह्निकृत्-विषहृत्-कण्डू-कुष्ठ-कोठ-कृमिप्रणुत् । मेदोदोषापहं व्रणशोथहरम् ।,,,,"तीक्ष्णोष्णं तुवरीतैलं लघु ग्राहि कफास्रजित् |

वह्निकृद्विषहृत्कण्डूकुष्ठकोठकृमिप्रणुत् |

मेदोदोषापहं चापि व्रणशोथहरं परम् ||१५||",
17-19,अथातसीतैलगुणानाह,,,कटु ? मधुर ,"स्निग्ध, उष्ण, गुरु",,कटु ,आग्नेय-कफपित्तकृत् । अचक्षुष्य-बल्य-वातहरम् । मलकृत्-ग्राहि-त्वग्दोषहृद् घनम् । वस्तौ पाने तथाऽभ्यङ्गे नस्ये कर्णस्य पूरणे अनुपानविधौ चापि प्रयोज्यं वातशान्तये ।,,,,"अतसीतैलमाग्नेयं स्निग्धोष्णं कफपित्तकृत् |

कटुपाकमचक्षुष्यं बल्यं वातहरं गुरु ||१६||

मलकृद्रसतः स्वादु ग्राहि त्वग्दोषहृद् घनम् |

बस्तौ पाने तथाभ्यङ्गे नस्ये कर्णस्य पूरणे |

अनुपानविधौ चापि प्रयोज्यं वातशान्तये ||१७||",
20,अथ कुसुम्भतैलगुणानाह,,,आम्ल,"उष्ण, गुरु",,,"विदाहि-चक्षुर्भ्यामहितं, बल्यं, रक्त-पित्त-कफ-प्रदम् ।",,,,"कुसुम्भतैलमम्लं स्यादुष्णं गुरु विदाहि च |

चक्षुर्भ्यामहितं बल्यं रक्तपित्तकफप्रदम् ||१८||",
21,अथ खसबीज तैलगुणानाह,,,मधुर ,"गुरु, शीतल",,मधुर,"बल्यं, वृष्यम् । वातहृत्-कफहृत् ।",,,,"तैलं तु खसबीजानां बल्यं वृष्यं गुरु स्मृतम् |

वातहृत्कफहृच्छीतं स्वादुपाकरसं च तत् ||१९||",
22-25,अथैरण्डतैलगुणानाह,,,"मधुर , तिक्त, कटु, कषाय","तीक्ष्ण, उष्ण, गुरु, पिच्छिल, सूक्ष्म ",,मधुर,"दीपनं, वृष्यं, त्वच्यं, वयःस्थापि मेधा-कान्ति-बलप्रदम् । योनि-शुक्र-विशोधनम् । विस्रं, सारकम् । वात-उदर-आनाह-गुल्म-अष्ठीला -कटिग्रहान् हन्ति । विषमज्वर-हृद्रोग-पृष्ठ-गुह्यादिशूलनुत् । वात-शोणित-विड्बन्ध-ब्रध्न-शोथ-आम-विद्रधिहरः ।",,,,"एरण्डतैलं तीक्ष्णोष्णं दीपनं पिच्छिलं गुरु |

वृष्यं त्वच्यं वयःस्थापि मेधाकान्तिबलप्रदम् ||२०||

कषायानुरसं सूक्ष्मं योनिशुक्रविशोधनम् |

विस्रं स्वादु रसे पाके सतिक्तं कटुकं सरम् ||२१||

विषमज्वरहृद्रोगपृष्ठगुह्यादिशूलनुत् |

हन्ति वातोदरानाहगुल्माष्ठीलाकटिग्रहान् ||२२||

वातशोणितविड्बन्धब्रध्नशोथामविद्रधीन् |

आमवातगजेन्द्रस्य शरीरवनचारिणः |

एक एव निहन्ताऽयमेरण्डस्नेहकेसरी ||२३||",
26,अथ सर्जरसतैलगुणानाह,,,,,,,"विस्फोट-व्रणनाशनम् । कुष्ठ-पामाकृमिहरं, वात-श्लेष्मा-मयापहम् ।",,,,"तैलं सर्जरसोद्भूतं विस्फोटव्रणनाशनम् |

कुष्ठपामाकृमिहरं वातश्लेष्मामयापहम् ||२४||



",
27,अथ सर्व तैलानां गुणानाह,,,,,,,तैलं स्वयोनिगुणकृत | तैलस्य गुणाः स्वयोनिवत् ज्ञेयाः |,,,,"तैलं स्वयोनिगुणकृद्वाग्भटेनाखिलं मतम् |

अतः शेषस्य तैलस्य गुणा ज्ञेयाः स्वयोनिवत् ||२५||",
,,,,,,,,,,,,,
,अथ सन्धानवर्गः,,,,,,,,,,,,
1-3,तत्र काञ्जिकस्य लक्षणं गुणाँश्चाह,,,,"तीक्ष्ण, लघु, उष्ण",,,भेदि-रोचन-पाचन-दाहज्वरहर-स्पर्शात्पानाद्वात-कफापह-माषादिवटकैर्यत्तु क्रियते तद् गुणाधिकम् । वातहर-रोचन-पाचन-शूल-अजीर्ण-विबन्ध-अमनाशन-वस्तिशोधनम्,,,,,
4-5,अथ काञ्जिकसेवनायोग्यजनानाह,,,,,,,शोष-मूर्च्छा-भ्रमार्त्तानां मद-कण्डू-विशोषिणां कुष्ठिनां रक्तपित्तिनां काञ्जिकं न प्रशस्यते । पाण्डुरोगे यक्ष्मणि च तथा शोषातुरेषु च क्षतक्षीणे तथा श्रान्ते मन्दज्वरनिपीडते एतेषां न हितं प्रोक्तं दोषकारकम्,,,,,
6-7,अथ तुषोदकस्य लक्षणं गुणाँश्चाह,,,,"तीक्ष्ण, उष्ण",,,दीपन-हृद्य-पाण्डु-क्रिमि-गदापह-पाचन-पित्त-रक्त--कृद्-बस्ति-शूलनुत्,,,,,
8-9,अथ सौवीरस्य लक्षणं गुणाँश्चाह,,,,,,,ग्रहण्यर्श-कफघ्न-भेदि-दीपन-उदावर्त्त-अङ्गमर्द-अस्थिशूल-अनाहेषु शस्यते ,,,,,
10,अथारनालस्य लक्षणं गुणाँचाह,,,,,,,सौवीरसदृशं गुणैः,,,,,
11,अथ धान्याम्लस्य लक्षणं गुणाँश्चाह,,,,लघु,,,प्रीणन-दीपन- अरुचौ वातरोगेषु सर्वेष्वास्थापने हितम्,,,,,
12-13,अथ शिण्डाक्या लक्षणं गुणश्चाह,,,,,,,रोचनी गुर्वी पित्त-श्लेष्मकरी,,,,,
14-15,अथ शुक्तस्य लक्षणं गुणाँश्चाह,,,,"तीक्ष्ण, ऊष्ण, रूक्ष, लघु",,,कफघ्न-रोचन-पाचन- पाण्डु-क्रिमिहर-भेदन-रक्तपित्तकृत्,,,,,
16,अथासुतम् तस्य लक्षणं गुणान् चाह ,,,,लघु,,,रुच्य-पाचन-वातहरम्,,,,,
17-20,अथ मद्यस्य नामानि लक्षणं गुणश्चाह,,"मद्य, सीधु, मैरेय,इरा , मदिरा, सुरा, कादम्बरी, वारुणी, हाला तथा बलवल्लभा",आम्ल,"रूक्ष, तीक्ष्णं,सूक्ष्म, विशद",उष्ण,,पित्तकृत्-वातनाशन-भेदन-शीघ्रपाक-कफहर-दीपन-रुच्य-पाचन-आशुकारि-व्यवायि-विकाशि,,,,,
21-22,अथारिष्टस्य लक्षणं गुणाँश्चाह,,,,,,,"लघुपाक-गुणाधिकम्, ",,,,,
23,अथ सुराया लक्षणं गुणश्चाह,,,,गुरु,,,बल-स्तन्य-पुष्टि-मेद-कफप्रदा- ग्राहिणि - शोथ-गुल्माश-ग्रहणी-मूत्र-कृच्छ्रनुत्,,,,,
24,अथ सुराभेदस्य वारुण्या लक्षणगुणानाह,,,,लघु ,,,लघ्वी-पीनस-आध्मान-शूलनुत्,,,,,
25-27,अथ द्विविधसीघोर्लक्षणगुणानाह,,,,,,,,,,,,
,पक्वरसः,,,,,,,श्रेष्ठ-स्वर-अग्नि-बल-वर्णकृत्-वात-पित्तकर-सद्यः स्नेहनो रोचनो । विबन्ध-मेद-शोफ-आर्श-शोफोदर-कफ-आमयान् हरेत् ।,,,,,
,शीतरसः,,,,,,,अल्पगुणः शीतरसः संलेखनः ।,,,,,
28-29,अथासवस्य लक्षणं गुणाँश्चाह,,,,,,,,,,,,
30-31,अथ नवपुराणमदिरागुणानाह,,,,,,,,,,,,
,नवम्,,,,"विशद, गुरु",,,अभिष्यन्दि-त्रिदोषजनक-सरम् । अहृद्य-बृंहण-दाहि-दुर्गन्ध-।,,,,,
,पुराणम्,,,,लघु,,,जीर्ण -रोचिष्णु-क्रिमि-श्लेष्मा-अनिलापहम् । हृद्य-सुगन्धिगुणवत्-स्रोतोविशोधनम् ।,,,,,
32,अथ सात्त्विकादिमनुष्याणां मद्येन जाताश्चेष्टा आह,,,,,,,सात्त्विकम् - गीत-हास्यादि । राजसम् - साहसादिकम् । तामसम् - निन्द्यकर्माणि निन्द्राञ्च,,,,,
33-34,अथ मद्यपानप्रकारमाह,,,,,,,,,,,,
35,अथ मद्यगन्धस्य दूरीकरणोपायमाह,,,,,,,,,,,,
,,,,,,,,,,,,मधु माक्षिकमाध्वीकक्षौद्रसारघ्यमीरितम् |,
,अथ मधुवर्गः,,,,,,,,,,,,
1-5,अथ मधुनो नामगुणानाह,,"मधु, माक्षिक, माध्वीक, क्षौद्र सारघ, मक्षिकावान्त, वरटीवान्त, भृङ्गवान्त, पुष्परसोद्भव",कषाय,"विशद, रूक्ष, सूक्ष्म, लघु ",,शीत,ग्राही-विलेखन -चक्षुष्य-दीपन -स्वर्य -व्रणशोधनरोपण -सौकुमार्यकर -सूक्ष्म-स्रोतोविशोधन -ह्लादि-प्रसादजनक -वर्ण्य  मेधाकर  -वृष्य - कुष्ठ-अर्शः-काश-पित्त-अस्र-कफ-मेह-क्लम-क्रिमीन्-मेद-तृष्णा-वमि-श्वास-हिक्का-अतीसारविड्ग्रह-दाह-क्षतक्षयान् योगवाहि-अल्पवातल,,,,"मधु माक्षिकमाध्वीकक्षौद्रसारघ्यमीरितम् |मक्षिकावरटीभृङ्गवान्तपुष्परसोद्भवम् ||१||                                             मधु शीतं लघु स्वादु रूक्षं ग्राहि विलेखनम् |        
चक्षुष्यं दीपनं स्वर्यं व्रणशोधनरोपणम् ||२||        
सौकुमार्यकरं सूक्ष्मं परं स्रोतोविशोधनम् |        
कषायानुरसं ह्लादि प्रसादजनकं परम् ||३||        
वर्ण्यं मेधाकरं वृष्यं विशदं रोचनं हरेत् |        
कुष्ठार्शःकासपित्तास्रकफमेहक्लमक्रिमीन् ||४||        
मेदस्तृष्णावमिश्वासहिक्काऽतीसारविड्ग्रहान् |        
दाहक्षतक्षयांस्तत्तु योगवाह्यल्पवातलम् ||५||        ",
6,अथ मधुभेदानाह,"माक्षिक, भ्रामर, क्षौद्र, पौत्तिक, छात्र, आर्घ्य, औद्दालक, दाल ",,,,,,,,,,"माक्षिकं भ्रामरं क्षौद्रं पौत्तिकं छात्रमित्यपि |

आर्घ्यमौद्दालकं दालमित्यष्टौ मधुजातयः ||६||",
7-8,अथ तेषां लक्षणं गुणाँश्च । तत्र माक्षिकस्य लक्षणगुणानाह,,,,लघु,,,नेत्रामयहर-कामला-अर्श-क्षत-श्वास-कासक्षयविनाशन,,,,"मक्षिकाः पिङ्गवर्णास्तु महत्यो मधुमक्षिकाः |

ताभिः कृतं तैलवर्णं माक्षिकं परिकीर्तितम् ||७||

माक्षिकं मधुषु श्रेष्ठं नेत्रामयहरं लघु |

कामलाऽर्शःक्षतश्वासकासक्षयविनाशनम् ||८||",
9-10,अथ भ्रामरस्य लक्षणगुणानाह,,,,"गुरु, पिच्छिल ",शीत,स्वादु/ मधुर ,रक्तपित्तघ्न-मूत्रजाड्यकर-पाकमभिष्यन्दी-पिच्छिलम्,,,,"किञ्चित्सूक्ष्मैः प्रसिद्धेभ्यः षट्पदेभ्योऽलिभिश्चितम् |

निर्मलं स्फटिकाभं यत्तन्मधु भ्रामरं स्मृतम् ||९||

भ्रामरं रक्तपित्तघ्नं मूत्रजाड्यकरं गुरु |

स्वादुपाकमभिष्यन्दि विशेषात्पिच्छिलं हिमम् ||१०||",
11,अथ क्षौद्रस्य लक्षणगुणानाह,(गुणैः माक्षिकवत् ),,,,,,मेहनाशनम् ,,,,"माक्षिकाः कपिलाः सूक्ष्माः क्षुद्राख्यास्तत्कृतं मधु |

मुनिभिः क्षौद्रमित्युक्तं तद्वर्णात्कपिलं भवेत् |

गुणैर्माक्षिकवत्क्षौद्रं विशेषान्मेहनाशनम् ||११||",
12-13,अथ पौत्तिकमधुनो लक्षणगुणानाह,,,,रूक्ष,उष्ण,,पित्तदाह-अस्र-वातकृत्-विदाही-मेहकृच्छ्रघ्न-ग्रन्थ्यादिक्षतशोषि,,,,"कृष्णा या मशकोपमा लघुतराः प्रायो महापीडिका

वृक्षाणां पृथुकोटरान्तरगताः पुष्पासवं कुर्वते |

तास्तज्ज्ञैरिह पूतिका निगदितास्ताभिः कृतं सर्पिषा

तुल्यं यन्मधु तद्वनेचरजनैः संकीर्तितं पौत्तिकम् ||१२||

पौत्तिकं मधु रूक्षोष्णं पित्तदाहास्रवातकृत् |

विदाहि मेहकृच्छ्रघ्नं ग्रन्थ्यादिक्षतशोषि च ||१३||",
14-16,अथ छात्रमधुनो लक्षणं गुणाँश्चाह,,,,"पिच्छिल, गुरु",शीत,स्वादु/ मधुर ,कृमि-श्वित्र-रक्त-पित्त-प्रमेहजित्-भ्रम-तृण्मोह-विषहृत्तर्पणञ्च,,,,"वरटाः कपिलाः पीताः प्रायो हिमवतो वने |

कुर्वन्ति च्छत्रकाकारं तज्जं छात्रं मधु स्मृतम् ||१४||

छात्रं कपिलपीतं स्यात्पिच्छिलं शीतलं गुरु |

स्वादुपाकं कृमिश्वित्ररक्तपित्तप्रमेहजित् |

भ्रमतृण्मोहविषहृत्तर्पणञ्च गुणाधिकम् ||१५||",
17-19,अथार्घ्यस्य लक्षणगुणानाह,,,"कषाय, तिक्त, कटु",,,कटु ?,चक्षुष्य- कफपित्तहर-बलपुष्टिकृत्,,,,"मधूकवृक्षनिर्यासं जरत्कार्वाश्रमोद्भवम् |        
        
स्रवत्यार्घ्यं तदाख्यातं श्वेतकं मालवे पुनः ||१६||        
        
तीक्ष्णं तुण्डासु याः पीता मक्षिकाः षट्पदोपमाः |        
        
अर्घ्यास्तास्तत्कृतं यत्तदार्घ्यमित्यपरे जगुः ||१७||        
        
आर्घ्यं मध्वतिचक्षुष्यं कफपित्तहरं परम् |        
        
कषायं कटुकं पाके तिक्तञ्च बलपुष्टिकृत् ||१८||        ",
20-21,अथौद्दालकमधुनो लक्षणगुणानाह,,,"कषाय, आम्ल, कटु ",,उष्ण,कटु ,"कुष्ठविषापह-पित्तकृत्, स्वर्य ",,,,"प्रायो वल्मीकमध्यस्थाः कपिलाः स्वल्पकीटकाः |

कुर्वन्ति कपिलं स्वल्पं तत्स्यादौद्दालकं मधु ||१९||

औद्दालकं रुचिकरं स्वर्यं कुष्ठविषापहम् |

कषायमुष्णमम्लञ्च कटुपाकञ्च पित्तकृत् ||२०||",
22-24,अथ दालमधुनो लक्षणगुणानाह,,,"कषाय, आम्ल ","लघु, रूक्ष, स्निग्ध,  ",,"मधुर, लघु?",दीपनीय-कफापह-छर्दि-प्रमेहजित्- बृंहण-गुरु-भारिकम्,,,,"संस्रुत्य पतितं पुष्पाद्यत्तु पत्रोपरि स्थितम् |

मधुराम्लकषायञ्च तद्दालं मधु कीर्तितम् ||२१||

दालं मधु लघु प्रोक्तं दीपनीयं कफापहम् |

कषायानुरसं रूक्षं रुच्यं छर्दिप्रमेहजित् |

अधिकं मधुरं स्निग्धं बृंहणं गुरु भारिकम् ||२२||",
25,अथ नवपुराणमधुगुणानाह,,,,,,,,,,,"नवं मधु भवेत्पुष्ट्यै नातिश्लेष्महरं सरम् |

पुराणं ग्राहकं रूक्षं मेदोघ्नमतिलेखनम् ||२३||

मधुनः शर्करायाश्च गुडस्यापि विशेषतः |

एकसंवत्सरे वृत्ते पुराणत्वं स्मृतं बुधैः ||२४||",
,नवमधु,,,,,,,नातिश्लेष्महर-सरम्,,,,,
,पुराणमधु,,,,रूक्ष,,,ग्राहक-मेदोघ्नमतिलेखनम्,,,,,
26,अथ परिभाषामाह,,,,,,,,,,,,
27-28,अथ शीतलोष्णमधुनोर्गुणदोषानाह,,,,,,,,,,,"विषपुष्पादपि रसं सविषा भ्रमरादयः |

गृहीत्वा मधु कुर्वन्ति तच्छीतं गुणवन्मधु ||२५||

विषान्वयात्तदुष्णं तु उष्णे चोष्णेन वा सह |

उष्णार्त्तस्योष्णकाले च स्मृतं विषसमं मधु ||२६||",
29-30,अथ मधूच्छिष्टम् तस्य नामगुणानाह  ,,"मयन, मधूच्छिष्ट, मधुशेष, सिक्थक, मध्वाधार, मदनक, मधूषित",,"स्निग्ध, मृदु ",,,भूतघ्न-व्रणरोपणम्-भग्नसन्धानकृद्वात-कुष्ठ-वीसर्प-रक्तजित्,,,,"मदनं तु मधूच्छिष्टं मधुशेषं च सिक्थकम् |

मध्वाधारो मदनकं मधूषितमपि स्मृतम् ||२७||

मदनं मृदु सुस्निग्धं भूतघ्नं व्रणरोपणम् |

भग्नसन्धानकृद्वातकुष्ठवीसर्परक्तजित् ||२८||",
,अथ इक्षुवर्गः,,,,,,,,,,,,
1,इक्षुः ,,"इक्षु, दीर्घच्छद, भूरिरस, गुडमूल, असिपत्र, मधुतृण  ",मधुर,"स्निग्ध, गुरु",शीत,मधुर,"रक्त-पित्तघ्न, बाल्य, वृष्य, कफप्रद, मूत्रल ",Sugar Cane,Sacharum officinarium,Gramineae,"इक्षुर्दीर्घच्छदः प्रोक्तस्तथा भूमिरसोऽपि च | गुडमूलोऽसिपत्रश्च तथा मधुतृणः स्मृतः ||१||                इक्षवो रक्तपित्तघ्ना बल्या वृष्याः कफप्रदाः |
स्वादुपाकरसाः स्निग्धा गुरवो मूत्रला हिमाः ||२||",
3-4,इक्षुभेद,"पौण्ड्रक, भीरुकः, वंशकः, शतपोरकः, कान्तारः, तापसेक्षुः, काण्डेक्षुः, सूचिपत्रकः , नैपालः, दीर्घपत्रः, नीलपोरः, कोशकृत्, मनोगुप्ता ",,,,,,,,,,"पौण्ड्रको भीरुकश्चापि वंशकः शतपोरकः |        
कान्तारस्तापसेक्षुश्च काण्डेक्षुः सूचिपत्रकः ||३||        
        
नैपालो दीर्घपत्रश्च नीलपोरोऽथ कोशकः |        
मनोगुप्ता च इत्येता जातयस्तत्र कीर्तिताः ||४||        ",
5,श्वेतपौण्ड्रक-भीरुकेक्षु ,,,मधुर,शीतल,,मधुर,वात-पित्तप्रशमन-बृंहण-बल्य,,,,"वातपित्तप्रशमनो मधुरो रसपाकयोः |
सुशीतो बृंहणो बल्यः पौण्ड्रको भीरुकस्तथा ||५||",
6,कोशकारेक्षुः,,,,गुरुः शीतो,,,रक्त-पित्त-क्षयापहः,,,,कोशको हि गुरुः शीतो रक्तपित्तक्षयापहः ||६||,
7,कान्तारेक्षु,,,,"सरः, गुरुः ",,,वृष्य-श्लेष्मल-बृंहण,,,,कान्तारेक्षुर्गुरुर्वृष्यः श्लेष्मलो बृंहणः सरः ||७||,
8,वंशकेक्षु,,,क्षार,,,,दीर्घपोर-सुकठिन,,,,दीर्घपत्रः सुकठिनः सक्षारो वंशकः स्मृतः ||८||,
9,शतपोरकेक्षु,,,क्षार,उष्ण,,,कोशकार संज्ञक-पवनापह,,,,"शतपर्वा भवेत्किञ्चित्कोशकारगुणान्वितः |
विशेषात्किञ्चिदुष्णश्च सक्षारः पवनापहः ||९||",
10,तापसेक्षु,,,मधुर,मृदु ,,,श्लेष्मकोपनी-तर्पणी-रुचिकृच्-वृष्या-बलकारिणी,,,,"तापसेक्षुर्भवेन्मृद्वी मधुरा श्लेष्मकोपनी |

तर्पणी रुचिकृच्चापि वृष्या च बलकारिणी ||१०||",
11,काण्डेक्षु,,,,,,,श्लेष्मकोपनी-तर्पणी-रुचिकृच्-वृष्या-बलकारिणी-वातप्रकोपण,,,,एवं गुणैस्तु काण्डेक्षुः स तु वातप्रकोपणः ||११||,
12,सूचीपत्र-नीलपोर-नैपाल-दीर्घपत्रक,,,कषाय,,,,वातल-कफपित्तघ्न-विदाहिन् ,,,,"सूचीपत्रा नीलपोरा नैपालाश्चैव वंशकाः |

वातलाः कफपित्तघ्नाः सकषाया विदाहिनः ||१२||",
13,मनोगुप्तेक्षु,,,अत्यन्त मधुर,शीतल,,,वातहरी-तृष्णाऽऽ-आमय-विनाशिनी-रक्त-पित्तप्रणाशिनी,,,,"मनोगुप्ता वातहरी तृष्णामयविनाशिनी |

सुशीता मधुराऽतीव रक्तपित्तप्रणाशिनी ||१३||",
14,बाल-तरुण-वृद्धेक्षु   ,,,,,,,,,,,"बाल इक्षुः कफं कुर्यान्मेदोमेहकरश्च सः |

वातहारी युवा स्वादुरीषत्तीक्ष्णश्च पित्तनुत् |

रक्तपित्तहरो वृद्धः क्षतहृद्बलवीर्यकृत् ||१४||",
,बाल,,,,,,,कफकारक-मेद-मेहकर ,,,,,
